"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PL","30.10.2015 01:00 - 30.10.2015 02:00 (CET/CEST)","238","5623","70","619","8932","214","n/e","n/e","n/e","0","","96","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","39"
"BZN|PL","30.10.2015 02:00 - 30.10.2015 03:00 (CET/CEST)","238","5289","71","619","8872","214","n/e","n/e","n/e","0","","97","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","30"
"BZN|PL","30.10.2015 03:00 - 30.10.2015 04:00 (CET/CEST)","238","5275","73","619","8858","215","n/e","n/e","n/e","0","","96","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","38"
"BZN|PL","30.10.2015 04:00 - 30.10.2015 05:00 (CET/CEST)","238","5444","70","619","8935","214","n/e","n/e","n/e","0","","96","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42"
"BZN|PL","30.10.2015 05:00 - 30.10.2015 06:00 (CET/CEST)","238","5959","68","621","9091","213","n/e","n/e","n/e","0","","96","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52"
"BZN|PL","30.10.2015 06:00 - 30.10.2015 07:00 (CET/CEST)","249","6631","70","647","10300","215","n/e","n/e","n/e","0","","97","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","81"
"BZN|PL","30.10.2015 07:00 - 30.10.2015 08:00 (CET/CEST)","253","6558","69","658","11297","218","n/e","n/e","n/e","0","","97","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","112"
"BZN|PL","30.10.2015 08:00 - 30.10.2015 09:00 (CET/CEST)","252","6697","67","650","11842","215","n/e","n/e","n/e","0","","100","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","120"
"BZN|PL","30.10.2015 09:00 - 30.10.2015 10:00 (CET/CEST)","252","6865","69","641","11792","214","n/e","n/e","n/e","0","","107","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","87"
"BZN|PL","30.10.2015 10:00 - 30.10.2015 11:00 (CET/CEST)","252","6905","70","638","11418","214","n/e","n/e","n/e","53","","113","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","44"
